Year,TumourSite,Deaths,Cases
2001,"Lip, Oral Cavity And Pharynx",1572,4225
2001,Digestive Organs,34262,52542
2001,Respiratory And Intrathoracic Organs,27877,33648
2001,Bone And Articular Cartilage,248,428
2001,Malignant Melanoma Of Skin,1380,6424
2001,Mesothelial And Soft Tissue,2202,3328
2001,Malignant Neoplasm Of Breast,10915,35624
2001,Urinary Tract,6813,14287
2001,Malignant Neoplasm Of Eye,62,404
2001,Brain And Other Parts Of Central Nervous System,2821,3714
2001,Thyroid And Other Endocrine Glands,375,1482
2001,"Lymphoid, Haematopoietic And Related Tissue",9773,18973
2002,"Lip, Oral Cavity And Pharynx",1591,4033
2002,Digestive Organs,34928,52548
2002,Respiratory And Intrathoracic Organs,28022,32658
2002,Bone And Articular Cartilage,229,396
2002,Malignant Melanoma Of Skin,1379,6668
2002,Mesothelial And Soft Tissue,2257,3309
2002,Malignant Neoplasm Of Breast,10874,35572
2002,Urinary Tract,6904,14053
2002,Malignant Neoplasm Of Eye,66,406
2002,Brain And Other Parts Of Central Nervous System,2753,3724
2002,Thyroid And Other Endocrine Glands,384,1500
2002,"Lymphoid, Haematopoietic And Related Tissue",10111,18742
2003,"Lip, Oral Cavity And Pharynx",1472,4434
2003,Digestive Organs,34567,52648
2003,Respiratory And Intrathoracic Organs,27884,32761
2003,Bone And Articular Cartilage,237,409
2003,Malignant Melanoma Of Skin,1464,6936
2003,Mesothelial And Soft Tissue,2282,3423
2003,Malignant Neoplasm Of Breast,10565,37711
2003,Urinary Tract,6958,14272
2003,Malignant Neoplasm Of Eye,64,413
2003,Brain And Other Parts Of Central Nervous System,2812,3668
2003,Thyroid And Other Endocrine Glands,432,1588
2003,"Lymphoid, Haematopoietic And Related Tissue",10156,19275
2004,"Lip, Oral Cavity And Pharynx",1612,4458
2004,Digestive Organs,34599,53996
2004,Respiratory And Intrathoracic Organs,27299,33431
2004,Bone And Articular Cartilage,278,396
2004,Malignant Melanoma Of Skin,1480,7664
2004,Mesothelial And Soft Tissue,2381,3628
2004,Malignant Neoplasm Of Breast,10341,37931
2004,Urinary Tract,6998,14287
2004,Malignant Neoplasm Of Eye,63,419
2004,Brain And Other Parts Of Central Nervous System,2849,3700
2004,Thyroid And Other Endocrine Glands,421,1672
2004,"Lymphoid, Haematopoietic And Related Tissue",9765,19857
2005,"Lip, Oral Cavity And Pharynx",1599,4633
2005,Digestive Organs,35077,54998
2005,Respiratory And Intrathoracic Organs,27647,33744
2005,Bone And Articular Cartilage,247,408
2005,Malignant Melanoma Of Skin,1529,8202
2005,Mesothelial And Soft Tissue,2495,3728
2005,Malignant Neoplasm Of Breast,10375,38905
2005,Urinary Tract,6855,14907
2005,Malignant Neoplasm Of Eye,72,392
2005,Brain And Other Parts Of Central Nervous System,2806,3859
2005,Thyroid And Other Endocrine Glands,427,1783
2005,"Lymphoid, Haematopoietic And Related Tissue",9740,20268
2006,"Lip, Oral Cavity And Pharynx",1573,5094
2006,Digestive Organs,34951,56473
2006,Respiratory And Intrathoracic Organs,28246,35137
2006,Bone And Articular Cartilage,269,428
2006,Malignant Melanoma Of Skin,1536,8904
2006,Mesothelial And Soft Tissue,2553,3966
2006,Malignant Neoplasm Of Breast,10302,38944
2006,Urinary Tract,7135,15357
2006,Malignant Neoplasm Of Eye,81,406
2006,Brain And Other Parts Of Central Nervous System,2956,3930
2006,Thyroid And Other Endocrine Glands,428,1966
2006,"Lymphoid, Haematopoietic And Related Tissue",9892,21008
2007,"Lip, Oral Cavity And Pharynx",1667,5095
2007,Digestive Organs,35357,57704
2007,Respiratory And Intrathoracic Organs,28503,35352
2007,Bone And Articular Cartilage,251,498
2007,Malignant Melanoma Of Skin,1710,9055
2007,Mesothelial And Soft Tissue,2652,4037
2007,Malignant Neoplasm Of Breast,10062,38934
2007,Urinary Tract,7164,15924
2007,Malignant Neoplasm Of Eye,83,412
2007,Brain And Other Parts Of Central Nervous System,3006,4083
2007,Thyroid And Other Endocrine Glands,452,2070
